Index,CloneDirectory,Language,Code1,Percentage1,Code2,Percentage2
0,/Users/anasmounsifmaster/Documents/G-Repo/risorse/lingua/mixed/IJPay_0,mixed,no,57.1,en,42.9
7,/Users/anasmounsifmaster/Documents/G-Repo/risorse/lingua/mixed/ZLayoutManager_7,mixed,no,42.9,vi,28.6
15,/Users/anasmounsifmaster/Documents/G-Repo/risorse/lingua/not_english/ArgusAPM_15,not english,zh-cn,71.4,ko,28.6
17,/Users/anasmounsifmaster/Documents/G-Repo/risorse/lingua/mixed/xbin-store_17,mixed,en,71.4,no,28.6
21,/Users/anasmounsifmaster/Documents/G-Repo/risorse/lingua/not_english/seckill_21,not english,zh-cn,100.0,,
29,/Users/anasmounsifmaster/Documents/G-Repo/risorse/lingua/unknown/initializr_29,unknown,,,,
33,/Users/anasmounsifmaster/Documents/G-Repo/risorse/lingua/mixed/es_33,mixed,en,85.7,ca,14.3
36,/Users/anasmounsifmaster/Documents/G-Repo/risorse/lingua/unknown/thymeleaf_36,unknown,,,,
63,/Users/anasmounsifmaster/Documents/G-Repo/risorse/lingua/not_english/TakePhoto_63,not english,no,71.4,vi,28.6
65,/Users/anasmounsifmaster/Documents/G-Repo/risorse/lingua/not_english/Java_65,not english,et,71.4,vi,28.6
66,/Users/anasmounsifmaster/Documents/G-Repo/risorse/lingua/mixed/okhttputils_66,mixed,no,71.4,en,14.3
68,/Users/anasmounsifmaster/Documents/G-Repo/risorse/lingua/mixed/SmartTabLayout_68,mixed,en,85.7,da,14.3
72,/Users/anasmounsifmaster/Documents/G-Repo/risorse/lingua/mixed/coursera-android_72,mixed,en,57.1,fr,42.9
80,/Users/anasmounsifmaster/Documents/G-Repo/risorse/lingua/unknown/XposedInstaller_80,unknown,,,,
94,/Users/anasmounsifmaster/Documents/G-Repo/risorse/lingua/not_english/TubeMQ_94,not english,zh-cn,100.0,,
101,/Users/anasmounsifmaster/Documents/G-Repo/risorse/lingua/not_english/AndroidOpenGLDemo_101,not english,zh-cn,71.4,ko,28.6
103,/Users/anasmounsifmaster/Documents/G-Repo/risorse/lingua/not_english/android-interview-guide_103,not english,vi,100.0,,
106,/Users/anasmounsifmaster/Documents/G-Repo/risorse/lingua/mixed/PaletteImageView_106,mixed,no,71.4,en,28.6
107,/Users/anasmounsifmaster/Documents/G-Repo/risorse/lingua/not_english/Android-BLE_107,not english,zh-cn,85.7,ko,14.3
108,/Users/anasmounsifmaster/Documents/G-Repo/risorse/lingua/mixed/GlideImageView_108,mixed,en,57.1,no,42.9
109,/Users/anasmounsifmaster/Documents/G-Repo/risorse/lingua/unknown/SpringMVC-Mybatis-Shiro-redis-0.2_109,unknown,,,,
112,/Users/anasmounsifmaster/Documents/G-Repo/risorse/lingua/not_english/zfile_112,not english,vi,100.0,,
114,/Users/anasmounsifmaster/Documents/G-Repo/risorse/lingua/not_english/XSnow_114,not english,zh-cn,100.0,,
119,/Users/anasmounsifmaster/Documents/G-Repo/risorse/lingua/not_english/wechat-api_119,not english,zh-cn,85.7,ko,14.3
127,/Users/anasmounsifmaster/Documents/G-Repo/risorse/lingua/not_english/mybatis-generator-gui_127,not english,zh-cn,100.0,,
129,/Users/anasmounsifmaster/Documents/G-Repo/risorse/lingua/mixed/server_129,mixed,en,85.7,vi,14.3
131,/Users/anasmounsifmaster/Documents/G-Repo/risorse/lingua/mixed/ssm_131,mixed,no,85.7,en,14.3
132,/Users/anasmounsifmaster/Documents/G-Repo/risorse/lingua/not_english/UltraViewPager_132,not english,no,100.0,,
136,/Users/anasmounsifmaster/Documents/G-Repo/risorse/lingua/not_english/android-zxingLibrary_136,not english,zh-cn,85.7,ko,14.3
137,/Users/anasmounsifmaster/Documents/G-Repo/risorse/lingua/not_english/Jetpack-MVVM-Best-Practice_137,not english,zh-cn,100.0,,
138,/Users/anasmounsifmaster/Documents/G-Repo/risorse/lingua/mixed/SpringCloud_138,mixed,en,57.1,no,28.6
140,/Users/anasmounsifmaster/Documents/G-Repo/risorse/lingua/not_english/lanproxy_140,not english,zh-cn,100.0,,
143,/Users/anasmounsifmaster/Documents/G-Repo/risorse/lingua/mixed/BadgeView_143,mixed,no,85.7,en,14.3
147,/Users/anasmounsifmaster/Documents/G-Repo/risorse/lingua/not_english/tx-lcn_147,not english,no,71.4,vi,28.6
148,/Users/anasmounsifmaster/Documents/G-Repo/risorse/lingua/not_english/gpmall_148,not english,no,100.0,,
150,/Users/anasmounsifmaster/Documents/G-Repo/risorse/lingua/not_english/roncoo-pay_150,not english,zh-cn,100.0,,
151,/Users/anasmounsifmaster/Documents/G-Repo/risorse/lingua/not_english/xpay_151,not english,zh-cn,85.7,ko,14.3
156,/Users/anasmounsifmaster/Documents/G-Repo/risorse/lingua/not_english/tech-weekly_156,not english,zh-cn,100.0,,
157,/Users/anasmounsifmaster/Documents/G-Repo/risorse/lingua/not_english/spring-boot-projects_157,not english,vi,42.9,af,32.2
158,/Users/anasmounsifmaster/Documents/G-Repo/risorse/lingua/not_english/Spring-Boot-In-Action_158,not english,zh-cn,100.0,,
163,/Users/anasmounsifmaster/Documents/G-Repo/risorse/lingua/mixed/Discovery_163,mixed,en,57.1,vi,42.9
164,/Users/anasmounsifmaster/Documents/G-Repo/risorse/lingua/not_english/android-adDialog_164,not english,zh-cn,100.0,,
165,/Users/anasmounsifmaster/Documents/G-Repo/risorse/lingua/not_english/Guns_165,not english,vi,57.1,no,42.9
